imo,ship_name,type,issue,expiry,technical_efficiency_number
7043843,TALOS,Ro-ro ship,2019-07-25,2020-06-30,60.41
7226952,FJARDVAGEN,Ro-ro ship,2019-05-21,2020-06-30,313.8
8820016,CLARA MAERSK,Container ship,2019-07-06,2020-06-30,15.26
8857772,ALENA,General cargo ship,2019-07-16,2020-06-30,12.98
8876340,ALEXANDRA,General cargo ship,2019-07-16,2020-06-30,12.98
9064267,THOMAS MAERSK,Container ship,2019-06-13,2020-06-30,16.24
9064396,CLAES MAERSK,Container ship,2019-06-06,2020-06-30,14.46
9064401,CECILIE MAERSK,Container ship,2019-06-06,2020-06-30,14.46
9106443,TANGER A,Container ship,2019-01-05,2020-06-30,31.0
9155341,JOHANN SCHULTE,Gas carrier,2019-02-05,2020-06-30,18.55
9155626,WILHELM SCHULTE,Gas carrier,2019-02-05,2020-06-30,18.55
9162215,MAERSK KARACHI,Container ship,2019-07-06,2020-06-30,16.05
9166314,ASTORIA,Oil tanker,2019-09-09,2020-06-30,11.94
9208473,NORDIC RUTH,Chemical tanker,2019-06-26,2020-06-30,8.39
9220794,MORITZ SCHULTE,Gas carrier,2019-08-05,2020-06-30,14.5
9222651,GINGA HAWK,Chemical tanker,2019-04-29,2020-06-30,22.0
9228291,GINGA KITE,Chemical tanker,2019-04-29,2020-06-30,22.0
9229386,NORDIC PASSAT,Oil tanker,2019-06-20,2020-06-30,3.88
9230000,FEDERAL ELBE,Bulk carrier,2019-04-26,2020-06-30,5.2
9233210,NORDIC MISTRAL,Oil tanker,2019-06-20,2020-06-30,3.85
9235555,MAERSK GIRONDE,Container ship,2019-06-06,2020-06-30,18.81
9235567,MAERSK GAIRLOCH,Container ship,2019-10-06,2020-06-30,18.81
9240196,KERFONS,Oil tanker,2019-06-28,2020-06-30,79.63
9240201,PETROPORT,Oil tanker,2019-06-19,2020-06-30,455.4
9246542,PACIFIC GENEVA,Container ship,2019-07-23,2020-06-30,34.49
