imo,fuel_consumption,sea_time,co2_distance,co2_transport,EEDI,verifier_key,ship_key,issue_date_key,expiry_date_key
8407735,1110.4,356.5,717.92,,21.85,12,0,20210430,20220630
9070620,2628.0,471.0,1397.93,,12.01,12,3,20210305,20220630
9070632,8066.7,2548.2,1293.38,,12.01,12,4,20210305,20220630
9106297,4464.2,1020.86,1403.72,,9.22,12,5,20210614,20220630
9153850,204.34,105.5,690.97,16.47,16.05,12,11,20210804,20220630
9164225,2789.59,3793.73,328.98,1377.65,19.98,12,13,20211204,20220630
9164237,422.68,1051.5,200.52,29.14,20.33,12,14,20210504,20220630
9164251,3475.44,6155.8,184.22,27.47,19.98,12,15,20210413,20220630
9168221,11683.39,6396.38,415.12,20.16,21.55,12,16,20210428,20220630
9175779,4129.38,5980.03,218.07,32.66,19.98,12,17,20210413,20220630
9175781,1491.15,2152.29,197.24,49.35,19.98,12,18,20210604,20220630
9183855,682.7,492.25,443.87,,10.43,12,19,20210429,20220630
9187239,9042.99,523.62,5451.1,53.74,3.08,12,20,20210427,20220630
9190731,6021.4,2339.66,557.01,18.71,18.03,12,21,20211204,20220630
9190743,4150.93,1951.3,468.69,15.58,18.45,12,22,20211204,20220630
9190767,7086.45,2457.67,569.33,24.06,18.74,12,23,20210428,20220630
9190779,5095.69,2164.75,501.09,16.35,18.31,12,24,20210413,20220630
9190781,4035.21,1940.73,478.35,16.85,18.31,12,25,20210428,20220630
9192442,3125.97,2345.51,328.71,23.36,27.34,12,26,20210427,20220630
9192478,4527.89,3776.68,352.53,32.04,27.34,12,27,20210427,20220630
9193264,16927.43,4440.93,689.69,19.15,18.45,12,28,20210204,20220630
9205902,1917.86,2356.6,236.65,10.56,6.55,12,33,20210505,20220630
9215878,640.51,322.7,387.89,40.68,19.17,12,35,20210428,20220630
9215907,1470.05,673.62,435.11,32.44,19.17,12,36,20210428,20220630
9220885,4084.27,3691.22,326.96,28.64,26.78,12,37,20210904,20220630
9220897,4064.84,3707.56,333.56,39.6,26.78,12,38,20210904,20220630
9222118,762.03,430.28,400.24,32.04,19.17,12,39,20210413,20220630
9231286,465.88,447.96,339.11,9.03,3.82,12,43,20210422,20220630
9231470,6469.68,4410.94,355.44,29.2,19.17,12,44,20210428,20220630
9239733,6803.33,4004.06,400.81,24.34,18.71,12,48,20210528,20220630
9264271,3158.28,2382.03,331.08,15.68,6.54,12,50,20210605,20220630
9264283,2506.4,1959.13,330.48,15.87,6.65,12,51,20210427,20220630
9271327,1069.8,665.0,426.48,10.42,3.04,12,52,20210622,20220630
9283186,14586.62,5652.9,590.22,11.69,18.99,12,53,20210427,20220630
9283198,12444.08,4637.08,617.62,16.04,17.25,12,54,20210427,20220630
9283227,1476.1,681.9,615.44,,17.07,12,55,20210427,20220630
9287924,18802.81,4949.2,709.28,21.94,16.8,12,57,20210505,20220630
9289180,2386.77,1828.16,314.06,30.37,22.55,12,58,20210427,20220630
9289192,4264.42,3081.5,336.41,31.66,22.61,12,59,20210413,20220630
9289922,2787.89,750.27,751.46,11.45,15.25,12,60,20210413,20220630
9289972,44715.46,5414.7,1530.74,48.67,16.8,12,61,20211205,20220630
9290933,7400.5,3000.13,692.96,10.03,3.1,12,63,20210427,20220630
9292137,369.86,353.1,237.79,,21.67,12,64,20210413,20220630
9293131,4888.0,1679.2,755.73,7.49,3.26,12,65,20211005,20220630
9293143,1765.1,765.4,765.07,28.18,3.35,12,66,20210622,20220630
9294379,5178.74,2504.04,452.2,15.15,17.52,12,67,20210413,20220630
9294381,5550.34,2311.82,504.41,16.8,17.93,12,68,20210104,20220630
9294393,6698.3,2865.81,517.41,17.36,17.52,12,69,20210904,20220630
9298686,15407.28,4650.69,603.78,17.76,19.1,12,73,20210413,20220630
9298698,16965.4,4668.47,663.31,18.09,19.1,12,74,20210413,20220630
9299032,1757.09,1308.23,339.99,24.38,18.87,12,75,20210413,20220630
