,ship_key,call_sign,speed,year_built,length,width,tonnage,engine_type,mmsi,ship_name,ship_type
0,0,OST9,19,2013,358.0,53.0,195087.0,gasoline,362775706,MARELLA DREAM,Passenger ship
1,1,1XWC,23,2001,174.0,27.0,17476.0,gasoline,261992716,TYCHO BRAHE,Ro-pax ship
2,2,0HUU,26,1997,221.0,21.0,16256.0,lng,418775700,AURORA AF HELSINGBORG,Ro-pax ship
3,3,9CJB,21,2013,343.0,44.0,107040.0,diesel/electric,286172032,MARELLA DISCOVERY 2,Passenger ship
4,4,8D02,26,2012,358.0,43.0,149544.0,lng,581955152,MARELLA DISCOVERY,Passenger ship
5,5,UQB8,23,2015,349.0,55.0,221246.0,gasoline,593779949,MARELLA EXPLORER,Passenger ship
6,6,0MRM,24,2000,89.0,25.0,22199.0,gasoline,625492158,VARNA,Ro-ro ship
7,7,8KFM,25,2015,161.0,30.0,14755.0,electric,704802052,AUTOPRIDE,Vehicle carrier
8,8,SRG2,19,2011,133.0,21.0,11819.0,lng,214179234,AUTOPROGRESS,Vehicle carrier
9,9,IRZC,24,2002,106.0,26.0,19872.0,lng,601104400,HAMLET,Ro-pax ship
10,10,UCX0,23,2016,340.0,46.0,233614.0,lng,275591615,GANOSAYA,Bulk carrier
11,11,CZQ0,23,1999,250.0,48.0,249623.0,diesel,384895153,MAERSK KIEL,Container ship
12,12,VM15,19,2001,270.0,41.0,83949.0,gasoline,365799844,HANSA FLENSBURG,Container ship
13,13,O0IL,23,2008,178.0,41.0,252130.0,diesel,380816959,MAERSK AHRAM,Container ship
14,14,8X4X,25,1998,257.0,42.0,167987.0,diesel,716653393,ALEXANDER MAERSK,Container ship
15,15,WT8H,21,2002,260.0,47.0,103438.0,lng,788568342,MAERSK ARKANSAS,Container ship
16,16,450O,26,2014,219.0,43.0,209519.0,electric,570242002,MAERSK PATRAS,Container ship
17,17,OUQZ,24,2005,196.0,42.0,180149.0,diesel,423669993,MAERSK ARUN,Container ship
18,18,T62A,26,2006,350.0,40.0,214550.0,lng,407031907,ANTWERP,Container ship
19,19,KIEC,18,2018,343.0,41.0,116893.0,electric,332474609,EUROPA,Passenger ship
20,20,K4BM,22,2013,236.0,36.0,90553.0,diesel,485840104,CAPE BALDER,Oil tanker
21,21,KRNV,25,2009,320.0,50.0,149597.0,diesel,519874242,LAURA MAERSK,Container ship
22,22,D2E9,21,2009,344.0,49.0,264163.0,lng,754022719,LAUST MAERSK,Container ship
23,23,QONO,24,1997,356.0,34.0,142589.0,gasoline,547900399,LEXA MAERSK,Container ship
24,24,BML4,25,1998,325.0,46.0,255687.0,lng,699537650,LICA MAERSK,Container ship
25,25,73YX,19,1997,270.0,48.0,250369.0,lng,318386816,LUNA MAERSK,Container ship
26,26,US2E,19,2017,218.0,36.0,150061.0,diesel/electric,649327618,NELE MAERSK,Container ship
27,27,NJBJ,22,2005,328.0,40.0,161665.0,lng,735191297,NORA MAERSK,Container ship
28,28,O8NE,23,2013,181.0,39.0,184242.0,gasoline,727589280,MAERSK IDAHO,Container ship
29,29,MXOR,25,2005,299.0,42.0,82988.0,diesel,274680213,DALLAS EXPRESS,Container ship
30,30,HMLF,23,2002,221.0,50.0,169984.0,diesel,549875222,TOKYO EXPRESS,Container ship
31,31,PQ56,24,2017,230.0,49.0,82649.0,electric,645417277,ROTTERDAM EXPRESS,Container ship
32,32,SI0C,21,1998,294.0,34.0,229266.0,lng,331656845,TANGO RIO,General cargo ship
33,33,BB34,25,2014,348.0,38.0,302547.0,diesel/electric,730393984,FEDERAL HUDSON,Bulk carrier
34,34,9HA2,26,2014,153.0,22.0,11514.0,lng,369918306,AUTOSTAR,Vehicle carrier
35,35,P16H,25,2004,252.0,44.0,250147.0,lng,529403818,MAERSK NEWCASTLE,Container ship
36,36,B167,21,2015,253.0,46.0,123855.0,lng,419384212,MAERSK NESTON,Container ship
37,37,6AWJ,25,2016,300.0,49.0,118664.0,gasoline,784934132,NEXOE MAERSK,Container ship
38,38,VBQ9,25,2015,313.0,50.0,119040.0,electric,613111762,NYSTED MAERSK,Container ship
39,39,RQJK,19,2016,180.0,43.0,194224.0,gasoline,217469180,MAERSK NORTHWOOD,Container ship
40,40,9CK7,18,2007,228.0,32.0,68449.0,diesel/electric,248240495,LUCY PG,Oil tanker
41,41,0RPH,25,2015,357.0,48.0,115242.0,diesel/electric,207971874,NINGBO EXPRESS,Container ship
42,42,AIAM,24,1999,308.0,42.0,121817.0,diesel,330265501,BERLIN EXPRESS,Container ship
43,43,83VR,26,2008,365.0,46.0,267065.0,diesel,744943661,BONITA,Bulk carrier
44,44,EAY2,24,1998,162.0,46.0,110258.0,lng,332991910,MAERSK NEWBURY,Container ship
45,45,L921,21,2016,151.0,48.0,92374.0,electric,546954737,LIVERPOOL EXPRESS,Container ship
46,46,AP7B,26,2012,291.0,34.0,138972.0,electric,322810262,DUBLIN EXPRESS,Container ship
47,47,0C0H,22,2007,219.0,43.0,187539.0,electric,297691815,GLASGOW EXPRESS,Container ship
48,48,J1MK,24,2012,298.0,47.0,213622.0,gasoline,587254269,MILAN TRADER,Container ship
49,49,5J6I,20,2019,353.0,39.0,373665.0,diesel,439217976,MOHAC,Bulk carrier
50,50,0P6F,20,2012,98.0,19.0,31552.0,diesel/electric,220553989,CAPE BRADLEY,Chemical tanker
51,51,RIDE,19,2019,109.0,19.0,31695.0,gasoline,545433522,CAPE BACTON,Chemical tanker
52,52,UOP2,24,2011,211.0,33.0,97071.0,lng,460964710,IBLEA,Oil tanker
53,53,QFF4,24,2015,327.0,36.0,234146.0,diesel,355302156,MONTE CERVANTES,Container ship
54,54,H6FF,19,2005,163.0,33.0,199026.0,lng,443562031,MONTE OLIVIA,Container ship
55,55,X9IU,20,2009,175.0,32.0,123110.0,lng,414207238,MONTE SARMIENTO,Container ship
56,56,GDEN,26,2013,109.0,15.0,24762.0,lng,395400337,VERONICA PG,Chemical tanker
57,57,ZRH6,19,2018,328.0,47.0,113706.0,gasoline,514296181,MP THE EDELMAN,Container ship
58,58,KOTH,24,2002,163.0,49.0,97824.0,gasoline,221838052,SAFMARINE CAMEROUN,Container ship
59,59,OD68,22,2008,250.0,42.0,135878.0,lng,283234091,MAERSK YORKTOWN,Container ship
60,60,FK1N,19,2012,159.0,48.0,182529.0,diesel/electric,707477267,MAERSK SANA,Container ship
61,61,6LD3,23,1997,297.0,42.0,189604.0,lng,276075314,MP THE BRADY,Container ship
62,62,UR6A,22,1997,307.0,35.0,126467.0,gasoline,346187804,SEAMAX NORWALK,Container ship
63,63,7F5S,20,2011,226.0,30.0,83704.0,electric,767353382,NORDIC LUNA,Oil tanker
64,64,Y76P,23,2003,269.0,40.0,160605.0,diesel,461784452,ALIANCA LEBLON,Container ship
65,65,NA9B,19,2010,219.0,37.0,119267.0,diesel,362777900,CENTURY,Oil tanker
