ship_key,ship_name,ship_type,call_sign,speed,year_built,length,width,tonnage,engine_type,mmsi
0,MARELLA DREAM,Passenger ship,OST9,19,2013,358.0,53.0,195087.0,gasoline,362775706
1,TYCHO BRAHE,Ro-pax ship,1XWC,23,2001,174.0,27.0,17476.0,gasoline,261992716
2,AURORA AF HELSINGBORG,Ro-pax ship,0HUU,26,1997,221.0,21.0,16256.0,lng,418775700
3,MARELLA DISCOVERY 2,Passenger ship,9CJB,21,2013,343.0,44.0,107040.0,diesel/electric,286172032
4,MARELLA DISCOVERY,Passenger ship,8D02,26,2012,358.0,43.0,149544.0,lng,581955152
5,MARELLA EXPLORER,Passenger ship,UQB8,23,2015,349.0,55.0,221246.0,gasoline,593779949
6,VARNA,Ro-ro ship,0MRM,24,2000,89.0,25.0,22199.0,gasoline,625492158
7,AUTOPRIDE,Vehicle carrier,8KFM,25,2015,161.0,30.0,14755.0,electric,704802052
8,AUTOPROGRESS,Vehicle carrier,SRG2,19,2011,133.0,21.0,11819.0,lng,214179234
9,HAMLET,Ro-pax ship,IRZC,24,2002,106.0,26.0,19872.0,lng,601104400
10,GANOSAYA,Bulk carrier,UCX0,23,2016,340.0,46.0,233614.0,lng,275591615
11,MAERSK KIEL,Container ship,CZQ0,23,1999,250.0,48.0,249623.0,diesel,384895153
12,HANSA FLENSBURG,Container ship,VM15,19,2001,270.0,41.0,83949.0,gasoline,365799844
13,MAERSK AHRAM,Container ship,O0IL,23,2008,178.0,41.0,252130.0,diesel,380816959
14,ALEXANDER MAERSK,Container ship,8X4X,25,1998,257.0,42.0,167987.0,diesel,716653393
15,MAERSK ARKANSAS,Container ship,WT8H,21,2002,260.0,47.0,103438.0,lng,788568342
16,MAERSK PATRAS,Container ship,450O,26,2014,219.0,43.0,209519.0,electric,570242002
17,MAERSK ARUN,Container ship,OUQZ,24,2005,196.0,42.0,180149.0,diesel,423669993
18,ANTWERP,Container ship,T62A,26,2006,350.0,40.0,214550.0,lng,407031907
19,EUROPA,Passenger ship,KIEC,18,2018,343.0,41.0,116893.0,electric,332474609
20,CAPE BALDER,Oil tanker,K4BM,22,2013,236.0,36.0,90553.0,diesel,485840104
21,LAURA MAERSK,Container ship,KRNV,25,2009,320.0,50.0,149597.0,diesel,519874242
22,LAUST MAERSK,Container ship,D2E9,21,2009,344.0,49.0,264163.0,lng,754022719
23,LEXA MAERSK,Container ship,QONO,24,1997,356.0,34.0,142589.0,gasoline,547900399
24,LICA MAERSK,Container ship,BML4,25,1998,325.0,46.0,255687.0,lng,699537650
25,LUNA MAERSK,Container ship,73YX,19,1997,270.0,48.0,250369.0,lng,318386816
26,NELE MAERSK,Container ship,US2E,19,2017,218.0,36.0,150061.0,diesel/electric,649327618
27,NORA MAERSK,Container ship,NJBJ,22,2005,328.0,40.0,161665.0,lng,735191297
28,MAERSK IDAHO,Container ship,O8NE,23,2013,181.0,39.0,184242.0,gasoline,727589280
29,DALLAS EXPRESS,Container ship,MXOR,25,2005,299.0,42.0,82988.0,diesel,274680213
30,TOKYO EXPRESS,Container ship,HMLF,23,2002,221.0,50.0,169984.0,diesel,549875222
31,ROTTERDAM EXPRESS,Container ship,PQ56,24,2017,230.0,49.0,82649.0,electric,645417277
32,TANGO RIO,General cargo ship,SI0C,21,1998,294.0,34.0,229266.0,lng,331656845
33,FEDERAL HUDSON,Bulk carrier,BB34,25,2014,348.0,38.0,302547.0,diesel/electric,730393984
34,AUTOSTAR,Vehicle carrier,9HA2,26,2014,153.0,22.0,11514.0,lng,369918306
35,MAERSK NEWCASTLE,Container ship,P16H,25,2004,252.0,44.0,250147.0,lng,529403818
36,MAERSK NESTON,Container ship,B167,21,2015,253.0,46.0,123855.0,lng,419384212
37,NEXOE MAERSK,Container ship,6AWJ,25,2016,300.0,49.0,118664.0,gasoline,784934132
38,NYSTED MAERSK,Container ship,VBQ9,25,2015,313.0,50.0,119040.0,electric,613111762
39,MAERSK NORTHWOOD,Container ship,RQJK,19,2016,180.0,43.0,194224.0,gasoline,217469180
40,LUCY PG,Oil tanker,9CK7,18,2007,228.0,32.0,68449.0,diesel/electric,248240495
41,NINGBO EXPRESS,Container ship,0RPH,25,2015,357.0,48.0,115242.0,diesel/electric,207971874
42,BERLIN EXPRESS,Container ship,AIAM,24,1999,308.0,42.0,121817.0,diesel,330265501
43,BONITA,Bulk carrier,83VR,26,2008,365.0,46.0,267065.0,diesel,744943661
