Verifier Key,Verifier Name,Verifier Accreditation number,Verifier NAB,Verifier Address,Verifier City,Verifier Country
1,Bureau Veritas Certification France,4-0076,COFRAC,"Le Triangle de l'Arche 9, cours du Triangle",Paris,France
2,Dromon Bureau of Shipping,1128,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,Greece
3,VERIFAVIA SARL,4-0596,COFRAC,33 Avenue du Maine,Paris,France
4,EMICERT,874-4,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",Athens,Greece
5,CROATIAN REGISTER OF SHIPPING,9568,Croatian Accreditation Agency,Marasoviceva 67,Split,Croatia
6,DNV GL,D-VS-16026-01-00,German national accreditation body (DAkkS),Brooktorkai 18,Hamburg,Germany
7,RINA Services Spa,002O,ACCREDIA,Via Corsica 12,Genova,Italy
8,ICS Verification Services Single Member P.C.,1101,Hellenic Accreditation System (ESYD),"55 Filonos Str. 185 35 Piraeus, Greece",Piraeus,Greece
9,Korean Register,D-VS-20824-01-00,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,  Busan, 618-814, Republic of Korea",Busan,Republic of Korea
10,HELLENIC LLOYD'S S.A.,1190,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,Greece
11,Nippon Kaiji Kyokai,VS-21325-01,Deutsche Akkredierungsstelle GmbH,"Nippon Kaiji Kyokai, 4-7, Kioi-Cho, Chiyoda-Ku, Tokyo 102-8567, Japan",Tokyo,Japan
12,ABS HELLENIC S.M. LTD,1083,Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,Greece
13,CHINA CLASSIFICATION SOCIETY,7508,Denmark National Accreditation Body (DANAK),CCS Mansion 9 DONGZHIMEN NAN DA JIE,Beijing,China
14,Tecnoveritas,H0005,Portuguese Institute for Accreditation (IPAC),"Av. Dr. Francisco Sá Carneiro, NEM, Pav. 36-A",Mafra,Portugal
15,Swiss Climate EcoCare GmbH,D-VS-20810-01,Deutsche Akkreditierungsstelle GmbH,"Steinhöft 11, 20459 Hamburg",Hamburg,Germany
16,EnvService GmbH,D-VS-20809-01-00,Deutsche Akkreditierungsstelle GmbH,Buchenring 14,Egestorf,Germany
17,Polish Register of Shipping,PL-VG-0013,PCA Polskie Centrum Akredytacji,al.gen.J.Hallera 126,Gdańsk,Poland
